weekday,shift,station,operator_id,last_station,total,ng_count,avg_cycle_time,first_date,last_date,ng_rate,is_anomaly,reason
Friday,Night,M326,,Str5,13,13,308.0,2025-05-16 01:49:17,2025-05-16 01:49:17,1.0,True,🔴 Scarto: 100% | 🐢 Ciclo: 308s
Friday,Night,M326,041701600000,Str5,1,0,3716.0,2025-05-16 23:50:13,2025-05-16 23:50:13,0.0,False,🐢 Ciclo: 3716s | ⚠️ Pochi moduli
Friday,Night,M326,041709200000,Str1,3,3,2683.0,2025-05-16 02:39:26,2025-05-16 02:39:26,1.0,False,🔴 Scarto: 100% | 🐢 Ciclo: 2683s | ⚠️ Pochi moduli
Friday,Night,M326,041709200000,Str3,1,0,356.0,2025-05-16 02:06:45,2025-05-16 02:06:45,0.0,False,🐢 Ciclo: 356s | ⚠️ Pochi moduli
Friday,Night,M326,041929300000,Str5,1,1,415.0,2025-05-16 04:12:07,2025-05-16 04:12:07,1.0,False,🔴 Scarto: 100% | 🐢 Ciclo: 415s | ⚠️ Pochi moduli
Friday,Night,M326,Attesa ricezione bad,Str1,3,2,783.3333333333334,2025-05-16 03:25:04,2025-05-16 03:53:44,0.6666666666666666,False,🔴 Scarto: 67% | 🐢 Ciclo: 783s | ⚠️ Pochi moduli
Monday,Afternoon,M308,BADGE SYS DISABLED,Str1,48,6,77.9375,2025-05-19 14:39:31,2025-05-19 20:58:00,0.125,False,
Monday,Afternoon,M308,BADGE SYS DISABLED,Str3,26,12,199.19230769230768,2025-05-19 14:42:19,2025-05-19 18:26:13,0.46153846153846156,False,🔴 Scarto: 46% | 🐢 Ciclo: 199s
Monday,Afternoon,M308,BADGE SYS DISABLED,Str5,35,2,83.57142857142857,2025-05-19 17:59:22,2025-05-19 21:05:18,0.05714285714285714,False,
Monday,Afternoon,M309,BADGE SYS DISABLED,Str1,44,2,120.06818181818181,2025-05-19 14:29:29,2025-05-19 21:14:20,0.045454545454545456,False,🐢 Ciclo: 120s
Monday,Afternoon,M309,BADGE SYS DISABLED,Str3,22,4,223.54545454545453,2025-05-19 14:31:29,2025-05-19 18:22:10,0.18181818181818182,False,🐢 Ciclo: 223s
Monday,Afternoon,M309,BADGE SYS DISABLED,Str5,30,12,81.6,2025-05-19 17:43:15,2025-05-19 21:04:27,0.4,False,🔴 Scarto: 40%
Monday,Afternoon,M326,,Str3,1,0,252.0,2025-05-19 14:34:31,2025-05-19 14:34:31,0.0,False,🐢 Ciclo: 252s | ⚠️ Pochi moduli
Monday,Afternoon,M326,041689900000,Str1,13,8,143.46153846153845,2025-05-19 20:31:54,2025-05-19 21:12:11,0.6153846153846154,False,🔴 Scarto: 62% | 🐢 Ciclo: 143s
Monday,Afternoon,M326,041689900000,Str3,1,1,76.0,2025-05-19 21:16:28,2025-05-19 21:16:28,1.0,False,🔴 Scarto: 100% | ⚠️ Pochi moduli
Monday,Afternoon,M326,041689900000,Str5,66,60,185.93939393939394,2025-05-19 19:28:20,2025-05-19 21:20:49,0.9090909090909091,True,🔴 Scarto: 91% | 🐢 Ciclo: 185s
Monday,Afternoon,M326,041691900000,Str1,7,6,274.57142857142856,2025-05-19 14:39:34,2025-05-19 15:10:56,0.8571428571428571,False,🔴 Scarto: 86% | 🐢 Ciclo: 274s
Monday,Afternoon,M326,041691900000,Str3,4,4,512.25,2025-05-19 14:48:27,2025-05-19 15:20:13,1.0,False,🔴 Scarto: 100% | 🐢 Ciclo: 512s | ⚠️ Pochi moduli
Monday,Afternoon,M326,041927300000,Str1,3,2,1482.3333333333333,2025-05-19 17:42:27,2025-05-19 18:57:38,0.6666666666666666,False,🔴 Scarto: 67% | 🐢 Ciclo: 1482s | ⚠️ Pochi moduli
Monday,Afternoon,M326,041927300000,Str3,7,3,537.7142857142857,2025-05-19 16:56:02,2025-05-19 18:21:48,0.42857142857142855,False,🔴 Scarto: 43% | 🐢 Ciclo: 537s
Monday,Afternoon,M326,041927300000,Str5,23,22,146.56521739130434,2025-05-19 18:36:06,2025-05-19 18:52:28,0.9565217391304348,False,🔴 Scarto: 96% | 🐢 Ciclo: 146s
Monday,Afternoon,M326,042123500000,Str1,2,1,528.0,2025-05-19 16:05:08,2025-05-19 16:46:03,0.5,False,🔴 Scarto: 50% | 🐢 Ciclo: 528s | ⚠️ Pochi moduli
Monday,Afternoon,M326,042123500000,Str3,2,1,204.0,2025-05-19 15:57:10,2025-05-19 16:13:48,0.5,False,🔴 Scarto: 50% | 🐢 Ciclo: 204s | ⚠️ Pochi moduli
Monday,Morning,M308,BADGE SYS DISABLED,Str1,84,5,66.52380952380952,2025-05-19 06:49:45,2025-05-19 10:50:06,0.05952380952380952,False,
Monday,Morning,M308,BADGE SYS DISABLED,Str3,4,3,133.5,2025-05-19 08:03:02,2025-05-19 10:48:28,0.75,False,🔴 Scarto: 75% | 🐢 Ciclo: 133s | ⚠️ Pochi moduli
Monday,Morning,M308,BADGE SYS DISABLED,Str5,60,10,64.51666666666667,2025-05-19 06:52:02,2025-05-19 10:12:16,0.16666666666666666,False,
Monday,Morning,M309,BADGE SYS DISABLED,Str1,6,0,173.5,2025-05-19 06:37:10,2025-05-19 11:07:11,0.0,False,🐢 Ciclo: 173s
Monday,Morning,M309,BADGE SYS DISABLED,Str3,2,0,34.5,2025-05-19 11:30:36,2025-05-19 11:34:16,0.0,False,⚠️ Pochi moduli
Monday,Morning,M309,BADGE SYS DISABLED,Str5,32,4,116.875,2025-05-19 06:31:56,2025-05-19 13:13:01,0.125,False,
